지하철역,4승,4하,5승,5하,6승,6하,7승,7하,8승,8하,9승,9하,10승,10하,11승,11하,12승,12하,13승,13하,14승,14하,15승,15하,16승,16하,17승,17하,18승,18하,19승,19하,20승,20하,21승,21하,22승,22하,23승,23하,24승,24하,1승,1하,2승,2하,3승,3하
2호선 잠실(송파구청),86,10,10681,4391,42913,38424,105467,71062,156194,154348,111870,123477,70227,80099,68675,80974,76806,83722,83595,89355,87040,90763,95580,93967,115319,109127,158578,138031,196573,203010,125579,144102,118310,83957,98700,78640,81226,89847,14467,27277,12,499,2,2,0,0,0,0
2호선 잠실새내,9,2,3868,777,14973,8228,53643,17387,68831,26486,40546,28099,25151,21364,23504,22052,25667,24758,27283,27725,25186,29431,26758,32975,33958,38193,34776,51848,38086,79463,28387,56296,24539,29062,28040,25349,28876,30728,4644,9856,2,778,0,0,0,0,0,0
2호선 종합운동장,7,0,1485,871,5274,5631,16556,12982,22375,22789,15655,10921,9778,7974,8851,7171,9590,8033,9237,8666,8677,9607,11145,9626,15019,11156,14774,14252,16925,23445,7883,16581,5771,9540,5718,10082,4333,12768,814,3931,3,284,2,5,0,1,0,0
2호선 삼성(무역센터),133,2,3963,4817,6578,35735,14826,121160,18639,321596,19924,227321,20437,93630,29679,67638,37239,61015,48307,69370,61057,59781,76696,50773,93195,47471,175544,48134,286108,53952,153888,30004,105568,15246,92371,12533,69726,13487,7738,4447,0,1792,0,0,0,0,0,0
2호선 선릉,44,7,3280,6260,9745,36264,20395,107173,29774,274559,26947,215664,30147,90985,40060,62848,46867,54285,57318,61253,68163,55677,85418,48620,120588,46383,168641,50922,282147,54706,141721,33894,87376,18669,91346,16079,82872,18845,11495,6240,1,70,0,1,0,0,0,0
2호선 역삼,50,1,3131,7257,7683,43508,14119,124128,22833,331950,21840,268459,21976,100500,29823,60833,35833,51791,43863,61303,51717,52859,67983,44718,91858,41929,175856,47179,277463,53667,141202,32705,80397,17788,83990,15119,67309,16863,10904,6393,5,9,1,2,0,0,0,0
2호선 강남,77,3,5965,11488,15581,50172,36460,153487,58142,325012,47214,320265,46279,145315,63532,105538,79723,102383,96866,123967,105644,109371,130097,103266,148775,105790,225786,132722,339281,179061,215342,102106,163656,43431,218166,34212,211822,39051,24811,12771,8,39,0,0,0,0,0,0
2호선 교대(법원.검찰청),32,0,2119,7047,11477,25709,24267,57409,33159,158060,26818,135315,25284,67316,30670,52080,33989,46855,41498,55619,47680,50721,54212,46456,61129,46584,93468,53923,147068,67694,69094,41830,50680,22103,59162,19605,55613,23071,7779,7244,1,34,0,0,0,0,0,0
2호선 서초,22,1,1128,4502,6919,18488,14316,47105,22518,120795,23140,88534,17478,37906,22532,25753,22560,20335,27484,24798,29788,22577,34206,19621,40987,20168,64121,20782,102833,21722,44984,14978,27269,8889,27314,8797,21168,10225,3772,3122,2,10,0,1,0,0,0,0
2호선 방배,10,1,2640,3375,9243,15871,23432,29160,31329,76467,23652,49303,17572,25186,18126,21589,20221,21853,23797,23135,24941,22845,27566,22046,36638,23919,47096,30909,71532,38404,30253,28538,21083,17413,22190,16913,18934,20513,3376,6266,2,42,1,0,0,0,0,0
